id,keyword,answer,sentence,options
13,爱,（1）爱护,父自爱也，不爱子，故亏子而自利（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
14,爱,（1）爱护,故圣人以治天下为事者，恶得不禁恶而劝爱（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
15,爱,（1）爱护,若使天下兼相爱，爱人若爱其身，犹有不孝者乎（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
16,爱,（1）爱护,此四君者，皆明智而忠信，宽厚而爱人（《过秦论》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
17,爱,（1）爱护,上于盆而养之，蟹白栗黄，备极护爱，留待限期，以塞官责（《促织》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
18,爱,（1）爱护,会有四方之事，诸侯以惠爱为德（《归去来兮辞并序》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
19,爱,（2）爱恋,吾爱汝至，所以为汝谋者惟恐未尽（《与妻书》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
20,爱,（2）爱恋,吾充吾爱汝之心，助天下人爱其所爱，所以敢先汝而死，不顾汝也（《与妻书》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
21,爱,（2）爱恋,吾至爱汝，即此爱汝一念，使吾勇于就死也（《与妻书》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
22,爱,（3）爱惜,使六国各爱其人，则足以拒秦（《过秦论》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
23,爱,（3）爱惜,向使三国各爱其地，齐人勿附于秦（《六国论》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
24,爱,（4）吝啬，舍不得,百姓皆以王为爱也，臣固知王之不忍也（《齐桓晋文之事》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
25,爱,（4）吝啬，舍不得,王无异于百姓之以王为爱也（《齐桓晋文之事》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
26,爱,（4）吝啬，舍不得,我非爱其财而易之以羊也，宜乎百姓之谓我爱也（《齐桓晋文之事》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
27,爱,（4）吝啬，舍不得,齐国虽褊小，吾何爱一牛（《齐桓晋文之事》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
28,爱,（4）吝啬，舍不得,诸侯恐惧，会盟而谋弱秦，不爱珍器重宝肥饶之地，以致天下之士，合从缔交，相与为一（《过秦论》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
29,爱,（5）喜爱，喜欢,三五之夜，明月半墙，桂影斑驳，风移影动，珊珊可爱（《项脊轩志》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
30,爱,（5）喜爱，喜欢,少无适俗韵，性本爱丘山（《归园田居（其一）》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
31,爱,（5）喜爱，喜欢,秦爱纷奢，人亦念其家（《阿房宫赋》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
32,爱,（5）喜爱，喜欢,武能网纺缴，檠弓弩，於靬王爱之，给其衣食（《苏武传》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
33,爱,（6）同“薆”，隐藏,爱而不见，搔首踟蹰（《静女》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏
34,安,（1）安处,何方圜之能周兮，夫孰异道而相安（《离骚（节选）》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
35,安,（2）安定，使……安定,思国之安者，必积其德义（《谏太宗十思疏》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
36,安,（2）安定，使……安定,其安易持，其未兆易谋（《老子》四章）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
37,安,（2）安定，使……安定,吾小人辍飧饔以劳吏者，且不得暇，又何以蕃吾生而安吾性耶（《种树郭橐驼传》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
38,安,（2）安定，使……安定,君人者，诚能见可欲则思知足以自戒，将有作则思知止以安人（《谏太宗十思疏》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
39,安,（3）安全,且陛下春秋高，法令亡常，大臣亡罪夷灭者数十家，安危不可知，子卿尚复谁为乎（《苏武传》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
40,安,（3）安全,不念居安思危，戒奢以俭（《谏太宗十思疏》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
41,安,（4）安适，安稳,时时为安慰，久久莫相忘（《孔雀东南飞并序》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
42,安,（4）安适，安稳,倚南窗以寄傲，审容膝之易安（《归去来兮辞并序》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
43,安,（4）安适，安稳,予出官二年，恬然自安，感斯人言，是夕始觉有迁谪意（《琵琶行并序》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
44,安,（4）安适，安稳,君子食无求饱，居无求安，敏于事而慎于言（《论语·学而》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
45,安,（4）安适，安稳,今日割五城，明日割十城，然后得一夕安寝（《六国论》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
46,安,（5）哪里,固一世之雄也，而今安在哉（《赤壁赋》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
47,安,（5）哪里,沛公安在（《鸿门宴》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
48,安,（5）哪里,终不得归汉，空自苦亡人之地，信义安所见乎（《苏武传》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
49,安,（6）怎么,安见方六七十，如五六十而非邦也者（《子路、曾皙、冉有、公西华侍坐》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
50,安,（6）怎么,安能摧眉折腰事权贵，使我不得开心颜（《梦游天姥吟留别》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
51,安,（6）怎么,臣死且不避，卮酒安足辞（《鸿门宴》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
52,安,（6）怎么,君安与项伯有故（《鸿门宴》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
53,安,（6）怎么,人生亦有命，安能行叹复坐愁（鲍照（《拟行路难（其四）》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
54,安,（6）怎么,又安能以皓皓之白，而蒙世之温蠖乎（《屈原列传》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
55,安,（7）性情安和,知止而后有定；定而后能静（《大学之道》）,（1）安处；（2）安定，使……安定；（3）安全；（4）安适，安稳；（5）哪里；（6）怎么；（7）性情安和
56,按,（1）握,项王按剑而跽曰：“客何为者?”（《鸿门宴》）,（1）握
57,案,（1）几案，几桌,成妻纳钱案上，焚拜如前人（《促织》）,（1）几案，几桌
58,案,（1）几案，几桌,百年老屋，尘泥渗漉，雨泽下注；每移案，顾视无可置者（《项脊轩志》）,（1）几案，几桌
59,昂,（1）抬高,市中游侠儿得佳者笼养之，昂其直，居为奇货（《促织》）,（1）抬高
60,傲,（1）轻视，看不起,夫在殷忧，必竭诚以待下；既得志，则纵情以傲物（《谏太宗十思疏》）,（1）轻视，看不起；（2）傲世的情怀
61,傲,（1）轻视，看不起,竭诚则吴越为一体，傲物则骨肉为行路（《谏太宗十思疏》）,（1）轻视，看不起；（2）傲世的情怀
62,傲,（2）傲世的情怀,倚南窗以寄傲，审容膝之易安（《归去来兮辞并序》,（1）轻视，看不起；（2）傲世的情怀
63,拔,(1)选取，提拔,过蒙拔擢，宠命优渥，岂敢盘桓，有所希冀。（《陈情表》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
64,拔,(2)攻取,惠王用张仪之计，拔三川之地（《谏逐客书》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
65,拔,(3)超出,天姥连天向天横，势拔五岳掩赤城。（《梦游天姥吟留别》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
66,拔,(4)拔起，抽出,项庄拔剑起舞，项伯亦拔剑起舞（《鸿门宴》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
67,拔,(4)拔起，抽出,今者项庄拔剑舞，其意常在沛公也。（《鸿门宴》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
68,拔,(4)拔起，抽出,樊哙覆其盾于地，加彘肩上，拔剑切而啖之。（《鸿门宴》）,(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
69,拔,(4)拔起，抽出,田夫抛秧田妇接，小儿拔秧大儿插。(（《插秧歌》),(1)选取，提拔；(2)攻取；(3)超出；(4)拔起，抽出
70,白,(1)白色,且放白鹿青崖间，须行即骑访名山。（《梦游天姥吟留别》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
71,白,(2)白色的东西,上于盆而养之，蟹白栗黄，备极护爱（《促织》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
72,白,(3)变白,武留匈奴凡十九岁，始以强壮出，及还，须发尽白。（《苏武传》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
73,白,(4)白发的,见红女白婆，填塞门户。（《促织》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
74,白,(5)洁净,又安能以皓皓之白，而蒙世之温蠖乎？（《屈原列传》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
75,白,(5)洁净,伏清白以死直兮，固前圣之所厚。（《离骚（节选）》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
76,白,(6)明亮,相与枕藉乎舟中，不知东方之既白。（《赤壁赋》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
77,白,(7)告诉，禀告,律知武终不可胁，白单于。（《苏武传》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
78,白,(7)告诉，禀告,便可白公姥，及时相遣归。（《孔雀东南飞并序》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
79,白,(7)告诉，禀告,阿母白媒人：贫贱有此女，始适还家门。（《孔雀东南飞并序》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
80,白,(1)残破的,于败堵丛草处，探石发穴（《促织》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
81,白,(2)打败,大败越人，裂地而封之。（《五石之瓠》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
82,白,(3)毁坏，败坏,三夜阴霪败场圃，一竿晴日舞比邻。（《文氏外孙入村收麦》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
83,白,(3)毁坏，败坏,慎终如始，则无败事。（《<老子>四章》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
84,白,(3)毁坏，败坏,为者败之，执者失之。（《<老子>四章》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
85,白,(4)失败，失利,抑本其成败之迹，而皆自于人欤？（《五代史伶官传序》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
86,白,(4)失败，失利,赵尝五战于秦，二败而三胜。（《六国论》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
87,白,(4)失败，失利,诸侯之所亡，与战败而亡者（《六国论》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
88,白,(5)失败，失利，此指解散,于是从散约败，争割地而赂秦。（《过秦论》）,(1)白色；(2)白色的东西；(3)变白；(4)白发的；(5)洁净；(6)明亮；(7)告诉，禀告；(1)残破的；(2)打败；(3)毁坏，败坏；(4)失败，失利；(5)失败，失利，此指解散
89,拜,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。,哙拜谢，起，立而饮之。（《鸿门宴》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
90,拜,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。,谨使臣良奉白璧一双，再拜献大王足下。（《鸿门宴》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
91,拜,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。,问者爇香于鼎，再拜。（《促织》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
92,拜,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。,成妻纳钱案上，焚拜如前人。（《促织》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
93,拜,(2)行礼的通称,李小二便拜道（《林教头风雪山神庙》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
94,拜,(3)拜谢,叫妻子出来拜了恩人。（《林教头风雪山神庙》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
95,拜,(4)拜谒，拜见,府吏还家去，上堂拜阿母（《孔雀东南飞并序》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
96,拜,(4)拜谒，拜见,上堂拜阿母，阿母怒不止。（《孔雀东南飞并序》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
97,拜,(5)授官,诏书特下，拜臣郎中。（《陈情表》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
98,拜,(6)奏上，奉上,臣不胜犬马怖惧之情，谨拜表以闻。（《陈情表》）,(1)古代表示恭敬的礼节，两手合掌于胸前，头低到挨着手，后世指下跪叩头。；(2)行礼的通称；(3)拜谢；(4)拜谒，拜见；(5)授官；(6)奏上，奉上
99,包,(1)吞并，囊括,包九夷，制鄢、郢（《谏逐客书》）,(1)吞并，囊括；(2)量词，多用于成包的东西；(3)装东西的袋子；(4)裹
100,包,(1)吞并，囊括,有席卷天下，包举宇内，囊括四海之意（《过秦论》）,(1)吞并，囊括；(2)量词，多用于成包的东西；(3)装东西的袋子；(4)裹
101,包,(2)量词，多用于成包的东西,那两个把一包金银递与管营、差拨。（《林教头风雪山神庙》）,(1)吞并，囊括；(2)量词，多用于成包的东西；(3)装东西的袋子；(4)裹
102,包,(3)装东西的袋子,林冲自来天王堂，取了包裹，带了尖刀（《林教头风雪山神庙》）,(1)吞并，囊括；(2)量词，多用于成包的东西；(3)装东西的袋子；(4)裹
103,包,(4)裹,就又买了一葫芦酒，包了那两块牛肉（《林教头风雪山神庙》）,(1)吞并，囊括；(2)量词，多用于成包的东西；(3)装东西的袋子；(4)裹
104,报,（1）报答,是臣尽节于陛下之日长，报养刘之日短也（《陈情表》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
105,报,（1）报答,非臣陨首所能上报（《陈情表》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
106,报,（2）报复，报仇,士不敢弯弓而报怨（《过秦论》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
107,报,（3）报告，告诉,虫翘然矜鸣，似报主知（《促织》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
108,报,（3）报告，告诉,遂为猾胥报充里正役（《促织》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
109,报,（3）报告，告诉,具以沛公言报项王（《鸿门宴》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
110,报,（4）给回信，答复,故略上报，不复一一自辨（《答司马谏议书》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
111,报,（5）同“赴”,卿但暂还家，吾今且报府（《孔雀东南飞并序》）,（1）报答；（2）报复，报仇；（3）报告，告诉；（4）给回信，答复；（5）同“赴”
112,暴,（1）（pù）晒,虽有槁暴，不复挺者（《劝学》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
113,暴,（2）（pù），同“曝”，暴露,暴霜露，斩荆棘（《六国论》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
114,暴,（3）突然,屡撩之，虫暴怒（《促织》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
115,暴,（4）凶恶残酷的,然则诸侯之地有限，暴秦之欲无厌（《六国论》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
116,暴,（4）凶恶残酷的,言既遂矣，至于暴矣（《氓》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
117,暴,（5）又猛又急的，脾气暴躁的,我有亲父兄，性行暴如雷（《孔雀东南飞并序》）,（1）（pù）晒；（2）（pù），同“曝”，暴露；（3）突然；（4）凶恶残酷的；（5）又猛又急的，脾气暴躁的
118,悲,（1）哀怜,余读（《离骚》（《天问》（《招魂》（《哀郢》，悲其志（《屈原列传》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
119,悲,（2）悲凉的,知不可乎骤得，托遗响于悲风（《赤壁赋》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
120,悲,（2）悲凉的,浮云为我阴，悲风为我旋（《窦娥冤》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
121,悲,（3）悲叹,君不见高堂明镜悲白发，朝如青丝暮成雪（《将进酒》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
122,悲,（4）悲痛，悲伤,故宁请汝先死，吾担悲也（《与妻书》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
123,悲,（4）悲痛，悲伤,既自以心为形役，奚惆怅而独悲（《归去来兮辞并序》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
124,悲,（4）悲痛，悲伤,十七为君妇，心中常苦悲（《孔雀东南飞并序》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
125,悲,（4）悲痛，悲伤,既得其尸于井，因而化怒为悲（《促织》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
126,悲,（4）悲痛，悲伤,叹门外楼头，悲恨相续（《桂枝香·金陵怀古》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
127,悲,（5）可悲,悲夫（《六国论》）,（1）哀怜；（2）悲凉的；（3）悲叹；（4）悲痛，悲伤；（5）可悲
128,北,（1）…以北,将军战河北，臣战河南（《鸿门宴》）,（1）…以北；（2）败逃，败逃的军队；（3）（在）北边，（在）北方；（4）向北
129,北,（2）败逃，败逃的军队,追亡逐北，伏尸百万（《过秦论》）,（1）…以北；（2）败逃，败逃的军队；（3）（在）北边，（在）北方；（4）向北
130,北,（3）（在）北边，（在）北方,戎马关山北，凭轩涕泗流（《登岳阳楼》）,（1）…以北；（2）败逃，败逃的军队；（3）（在）北边，（在）北方；（4）向北
131,北,（3）（在）北边，（在）北方,乃使蒙恬北筑长城而守藩篱（《过秦论》）,（1）…以北；（2）败逃，败逃的军队；（3）（在）北边，（在）北方；（4）向北
132,北,（3）（在）北边，（在）北方,先是庭中通南北为一（《项脊轩志》）,（1）…以北；（2）败逃，败逃的军队；（3）（在）北边，（在）北方；（4）向北
